program_studi,bidang_ilmu_id
Agama dan Budaya,1
Akhlak dan Tasawuf,1
Akhlak dan Tasawuf (Tasawuf dan Psikoterapi),1
Akhlaq dan Tasawuf,1
Akidah dan Filsafat Islam,1
Aqidah dan Filsafat Islam,1
Aqidah Filsafat,1
Bimbingan Dan Konseling Kristen,1
Bimbingan dan Konseling Pendidikan Islam,1
Bimbingan Konseling Islam,1
Bimbingan Konseling Kristen,1
Brahma Widya (Filsafat),1
Divinitas,1
Doktor Agama dan Lintas Budaya,1
Doktor Inter-Religious Studies,1
Doktor Teologi,1
EKONOMI,1
Ekonomi Artha Sastra,1
Ekonomi Islam,1
Ekonomi Syari'ah,1
Ekonomi Syari`ah,1
Ekonomi Syariâ€™ah,1
Ekonomi Syariah,1
Ekonomi Syariah (Ekonomi Islam ),1
Ekonomi Syariah (Ekonomi Islam),1
Ekonomi Syariah (ES),1
Ekonomi Syariah (Manajemen Syariah),1
Falsafah dan Agama,1
Filsafat Agama,1
Filsafat Agama (Aqidah dan Filsafat),1
Filsafat Agama / Akidah Filfasat.,1
Filsafat Agama Hindu,1
Filsafat Agama Kristen,1
Filsafat Hindu,1
Filsafat Keilahian,1
Hukum,1
Hukum (Kampus Kota Surabaya),1
Hukum Adat,1
Hukum Ekonomi Syari`ah,1
Hukum Ekonomi Syariah,1
Hukum Ekonomi Syariah (Muamalah),1
Hukum Islam,1
Hukum Keluarga Islam (Ahwal Syakhshiyyah),1
Hukum Tatanegara (Siyasah Syar'iyyah),1
Hukum Tatanegara (Siyasah),1
Hukum Tatanegara Islam (Siyasah Syar'iyah),1
ILMU AGAMA,1
Ilmu Agama Dan Kebudayaan,1
Ilmu Agama Islam,1
Ilmu Agama/Teologi Katolik,1
Ilmu Akidah,1
Ilmu Al Qur'an dan Tafsir,1
Ilmu Al Quran dan Tafsir,1
Ilmu Al Quran dan Tafsir (Tafsir Hadits),1
Ilmu Al-Qur'an dan Tafsir,1
Ilmu Al-Qur'an danTafsir,1
Ilmu Al-Qur;an dan Tafsir,1
Ilmu Al-Qur`an dan Tafsir ,1
Ilmu Al-Quran dan Tafsir,1
Ilmu Al-Quran dan Tafsir (Program Khusus Tafsir Hadis),1
Ilmu Al-Quran dan Tafsir (Tafsir dan Hadits),1
Ilmu Al-Quran dan Tafsir (Tafsir Hadits),1
Ilmu Alqur'an dan Tafsir,1
Ilmu Alquran dan Tafsir,1
Ilmu Aqidah,1
Ilmu Dakwah,1
Ilmu Ekonomi,1
Ilmu Filsafat Hindu,1
Ilmu Hadis,1
Ilmu Hadist,1
Ilmu Hadist (Tafsir Hadis),1
Ilmu Hadits,1
Ilmu Hukum,1
Ilmu Hukum Kampus Jakarta,1
Ilmu Religi Dan Budaya,1
Ilmu Syariah,1
Ilmu Tasawuf,1
Ilmu Teologi,1
Interdisciplinary Islamic Studies,1
Kajian Wilayah Timur Tengah Islam,1
Kepemimpinan Kristen,1
Kependetaan,1
Konseling Pastoral,1
Logistik,1
Logistik Kelautan,1
Magister Agama dan Lintas Budaya,1
Magister Artium,1
MAGISTER ILMU HUKUM,1
Magister Kajian Budaya Timur Tengah,1
Magister Teologi,1
Manajemen (Kampus Kota Surabaya),1
Manajemen Bisnis Syariah,1
Manajemen Haji dan Umrah,1
Manajemen Haji dan Umroh,1
Manajemen Kampus Jakarta,1
Manajemen Pendidikan Agama Hindu,1
Manajemen Pendidikan Islam,1
Manajemen Pendidikan Islam (Kampus Kabupaten Bogor),1
Manajemen Pendidikan Kristen,1
Ministri,1
Misiologi,1
Misiologi dan Komunikasi Kristen,1
Mu'amalat (Syari'ah),1
Pariwisata Budaya dan Agama,1
Pariwisata Budaya dan Keagamaan,1
Pariwisata Syariah,1
Pastoral Konseling,1
Patologi Tumbuhan,1
Pemikiran Politik Islam,1
Pendidikan Agama Islam,1
PENDIDIKAN EKONOMI,1
Pendidikan Guru Madrasah Ibtidaiyah (Kampus Kabupaten Bogor),1
Pendidikan Ilmu Pengetahuan Sosial,1
Pendidikan IPS,1
Pendidikan Islam Anak Usia Dini,1
Pendidikan Keagamaan Katolik,1
Pendidikan Kristen Anak Usia Dini,1
Pendidikan Kristen Untuk Anak Usia Dini,1
Pendidikan Profesi Guru Agama Hindu,1
Pendidikan Profesi Guru Pendidikan Agama Katolik,1
Pendidikan Seni Keagamaan,1
Pendidikan Tata Busana,1
Pendidikan Vokasional Desain Fashion,1
Pengembangan Masyarakat Islam,1
Pengkajian Islam,1
Peradaban Islam,1
Perbandingan Agama,1
Perbankan Syari`ah,1
Perbankan Syariah,1
Politik Islam,1
Sarjana Teologi,1
Sejarah Peradaban Islam,1
Sosiologi Agama,1
Strategi dan Kampanye Militer,1
Studi Agama Agama,1
Studi Agama-Agama ,1
Studi Islam,1
Studi Islam Interdisipliner,1
Tadris - Ilmu Pengetahuan Sosial (Konsentrasi Sejarah),1
Tadris Ilmu Pengetahuan Sosial,1
Tadris Ilmu Pengetahuan Sosial (IPS),1
Tadris IPS,1
Tafsir Hadist,1
Tafsir Hadits,1
Tasawuf  dan Psikoterapi,1
Tasawuf dan Psikoterapi,1
Tasawuf Psikoterapi,1
Teknologi Hasil Ternak,1
Teologi,1
Teologi (Akademik),1
Teologi (Kependetaan),1
Teologi (Profesi/D.Min),1
Teologi (Profesi/M.Div),1
Teologi (Profesi/M.Min),1
Teologi (Profesi/MA),1
Teologi Agama Kristen,1
Teologi Hindu,1
Teologi Katolik,1
Teologi Kependetaan,1
Teologi Kristen Protestan,1
Teologi/Kependetaan,1
Yoga Kesehatan,1
