program_studi,bidang_ilmu_id
 Ekonomi Syariah,2
Administrasi Bisnis,2
Administrasi Bisnis (Kampus Kab. Bone),2
Administrasi Bisnis Kampus Kota Bandung,2
Administrasi Kesehatan,2
Administrasi Keuangan Dan Perbankan,2
Administrasi Pajak,2
Administrasi Pajak K. Batang,2
Administrasi Pembangunan Negara,2
Administrasi Perkantoran,2
Administrasi Perkantoran Digital,2
Administrasi Perpajakan,2
Administrasi Perpajakan K. Batang,2
Akuntansi,2
Akuntansi  K. Pekalongan,2
Akuntansi (Kampus Kab Solok Selatan),2
Akuntansi (Kampus Kab. Bojonegoro),2
Akuntansi (Kampus Kab. Bombana),2
Akuntansi (Kampus Kab. Lumajang),2
Akuntansi (Kampus Kab. Pamekasan),2
Akuntansi (Kampus Kab. Prabumulih),2
Akuntansi (Kampus Kab. Sanggau),2
Akuntansi (Kampus Kab. Solok Selatan),2
Akuntansi (Kampus Kab. Trenggalek),2
Akuntansi (Kampus Kota Kediri),2
Akuntansi (Kampus Kota Madiun),2
Akuntansi (Kampus Kota Medan),2
Akuntansi (Kampus Kota Pematang Siantar),2
Akuntansi Bisnis Digital,2
Akuntansi K. Banyuwangi,2
Akuntansi Keuangan,2
Akuntansi Keuangan Perusahaan,2
Akuntansi Keuangan Publik,2
Akuntansi Lembaga Keuangan Syariah,2
Akuntansi Manajemen,2
Akuntansi Manajemen Pemerintahan,2
Akuntansi Manajerial,2
Akuntansi Perpajakan,2
Akuntansi Sektor Publik,2
Akuntansi Sektor Publik (Kampus Kab. Masohi),2
Akuntansi Syari'ah,2
Akuntansi Syari`ah,2
Akuntansi Syariah,2
Akuntansi Usaha Kecil dan Menengah,2
Analis Keuangan,2
Analisis Keuangan,2
Bio Manajemen,2
BISNIS ,2
Bisnis dan Manajemen Buddha,2
Bisnis Dan Manajemen Ritel,2
Bisnis Digital,2
Bisnis Internasional,2
Bisnis Islam,2
Bisnis Jasa,2
Bisnis Jasa Makanan,2
Business Innovation,2
Doktor Ilmu Akuntansi,2
Doktor Ilmu Ekonomi,2
Doktor Ilmu Manajemen,2
Doktor Perekonomian Islam dan Industri Halal,2
EKONOMI,2
Ekonomi dan Pembangunan,2
Ekonomi dan Studi Pembangunan,2
Ekonomi Hindu,2
Ekonomi Islam,2
Ekonomi Kelautan Tropika,2
Ekonomi Kesehatan,2
Ekonomi Pembangunan,2
Ekonomi Pembangunan (Kampus Payakumbuh),2
Ekonomi Pembangunan dan Perencanaan,2
Ekonomi Pertahanan,2
Ekonomi Syari'ah,2
Ekonomi Syari`ah,2
Ekonomi Syariah,2
"Ekonomi, Keuangan dan Perbankan",2
Hukum Ekonomi Syariah,2
Ilmu Akuntansi,2
