program_studi,bidang_ilmu_id
Administrasi Fiskal,3
Akuntansi (Kampus Kab Jembrana),3
Akuntansi (Kampus Kab. Kepulauan Aru),3
Akuntansi (Kampus Kab. Maluku Barat Daya),3
Akuntansi (Kampus Kota Surabaya),3
Antropologi,3
Antropologi Budaya,3
Antropologi Sosial,3
Arkeologi,3
Asia Tenggara,3
Asia Timur,3
Bahasa Arab,3
Bahasa Asing Terapan,3
Bahasa Belanda,3
Bahasa dan Budaya Tiongkok,3
Bahasa dan Kebudayaan Arab,3
Bahasa dan Kebudayaan Inggris,3
Bahasa dan Kebudayaan Jepang,3
Bahasa Dan Kebudayaan Korea,3
Bahasa dan Sastra Arab,3
Bahasa dan Sastra Indonesia,3
Bahasa dan Sastra Inggris,3
Bahasa dan Sastra Jepang,3
Bahasa dan Sastra Prancis,3
Bahasa Indonesia,3
Bahasa Inggris,3
Bahasa Inggris (Kampus Kota Madiun),3
Bahasa Inggris (Kampus Kota Yogyakarta),3
Bahasa Inggris Untuk Industri Pariwisata,3
Bahasa Inggris Untuk Komunikasi Bisnis Dan Profesional ,3
Bahasa Jepang,3
Bahasa Jerman,3
Bahasa Korea,3
Bahasa Mandarin,3
Bahasa Mandarin dan Kebudayaan Tiongkok,3
Bahasa Mandarin untuk Komunikasi Bisnis dan Profesional,3
Bahasa Perancis,3
Bahasa Prancis,3
"Bahasa, Sastra, dan Budaya Jawa",3
Doktor Filsafat,3
FILSAFAT,3
Filsafat Keilahian,3
Hubungan Masyarakat,3
Hubungan Masyarakat (Kampus Kota Malang),3
Hubungan Masyarakat dan Komunikasi Digital,3
Hukum (Kampus Kab Maluku Barat Daya),3
Hukum (Kampus Kab. Kepulauan Aru),3
Hukum (Kampus Kota Medan),3
Hukum (Kampus Kota Surabaya),3
Ilmu Antropologi,3
Ilmu Filsafat,3
Ilmu Hubungan Masyarakat,3
Ilmu Hukum (Kampus Kab. Kapuas),3
Ilmu Informasi dan Perpustakaan,3
Ilmu Linguistik,3
Ilmu Perpustakaan,3
"Ilmu Perpustakaan (d/h. Perpustakaan, Arsip dan Dokumentasi)",3
Ilmu Perpustakaan dan Informasi Islam,3
Ilmu Sastra,3
Ilmu Sejarah,3
Ilmu Susastra,3
"Informasi, Perpustakaan & Kearsipan",3
Kajian Bahasa Inggris,3
Kajian Sejarah,3
Karawitan,3
Kearsipan,3
Kearsipan Digital,3
Komunikasi Digital dan Media,3
Kriya,3
Kriya Kulit,3
Linguistik,3
Linguistik Pendidikan Bahasa Inggris,3
Linguistik Terapan,3
Linguistik Terapan Bahasa Inggris,3
Magister Antropologi,3
Magister Arkeologi,3
Magister Filsafat,3
Magister Linguistik,3
Magister Sastra,3
Magister Sejarah,3
Manajemen Perhotelan,3
Manajemen Rekod dan Arsip,3
Pariwisata Bahari,3
Penciptaan Musik,3
Pendidikan Bahasa Arab,3
Pendidikan Bahasa Indonesia,3
Pendidikan Vokasional Mekatronika,3
Pengelolaan Arsip dan Rekaman Informasi,3
Pengelolaan Perhotelan,3
Pengkajian Bahasa,3
Peradaban Islam,3
Perpustakaan,3
Perpustakaan dan Ilmu Informasi,3
Perpustakaan Dan Informasi,3
Perpustakaan dan Kearsipan,3
Perpustakaan dan Sains Informasi,3
Perpustakaan Digital,3
SASTRA,3
Sastra Arab,3
Sastra Bali,3
Sastra Batak,3
Sastra Belanda,3
Sastra Cina,3
Sastra Daerah,3
Sastra Daerah untuk Sastra Jawa,3
Sastra Indonesia,3
Sastra Inggris,3
Sastra Jawa,3
Sastra Jawa Kuna,3
Sastra Jepang,3
Sastra Jerman,3
Sastra Melayu,3
Sastra Minangkabau,3
Sastra Perancis,3
Sastra Prancis,3
Sastra Rusia,3
Sastra Sunda,3
Sastra Tiongkok,3
Sejarah,3
Sejarah dan Kebudayaan  Islam,3
Sejarah dan Kebudayaan Islam,3
Sejarah dan Kebudayan Islam,3
Sejarah dan Peradaban Islam,3
Sejarah Kebudayaan Islam,3
Sejarah Peradaban  Islam,3
Sejarah Peradaban Islam ,3
Sejarah Peradaban Islam (SPI),3
Seni Karawitan,3
Seni Tari,3
Studi Humanitas,3
Studi Islam,3
Studi Kejepangan,3
Susastra,3
Tadris Bahasa Inggris,3
Tari,3
Tari Sunda,3
Tarjamah,3
"Teknik Perpustakaan, Dokumentasi dan Informasi",3
Teknologi Informasi untuk Perpustakaan,3
Teologi Kristen Protestan,3
Tradisi Lisan,3
