program_studi,bidang_ilmu_id
Akuakultur SIKIA Banyuwangi,5
Analis Farmasi,5
Analis Farmasi Dan Makanan,5
Analisa Farmasi dan Makanan,5
Analisis Farmasi dan Makanan,5
Analisis Kimia,5
Astronomi,5
Bio Medis dan Rekayasa Hayati,5
Biofisika,5
Biokimia,5
Biologi,5
Biologi (Kampus Kota Madiun),5
Biologi Terapan,5
Biologi Tumbuhan,5
"Biologi, Kampus K. Bandung",5
Biosain,5
Biosains Hewan,5
Bioteknologi,5
Budi Daya Ikan,5
Budidaya Perairan (Kampus Kab. Banda Neira),5
Doktor Biologi,5
Doktor Bioteknologi,5
Doktor Fisika,5
Doktor Ilmu Farmasi,5
Doktor Ilmu Geografi,5
Doktor Kimia,5
Doktor Matematika,5
Farmasi,5
Farmasi (Kampus Kota Cirebon),5
Farmasi (Kampus Kota Madiun),5
Farmasi Industri,5
Farmasi Klinik,5
Farmasi Klinik Dan Komunitas,5
Farmasi Klinis,5
Farmasi Klinis dan Komunitas,5
Farmasi Rumah Sakit Dan Dist Pemasaran,5
Fisika,5
Fisika Medis,5
Fisika Terapan,5
"Fisika, Kampus K. Bandung",5
Fisikawan Medik,5
Geofisika,5
Geografi,5
Herbal,5
Ilmu Berkelanjutan,5
Ilmu Biologi,5
Ilmu Falak,5
Ilmu Falaq,5
Ilmu Farmasi,5
Ilmu Fisika,5
Ilmu Keberlanjutan,5
Ilmu Kefarmasian,5
Ilmu Kimia,5
Ilmu Matematika,5
Ilmu Matematika Dan Ilmu Pengetahuan Alam,5
Ilmu Statistik,5
Informatika,5
Instrumentasi Meteorologi Klimatologi dan Geofisika,5
Jamu (Kampus Klaten),5
Kartografi dan Penginderaan Jauh,5
Kedokteran Hewan K. Banyuwangi,5
Kedokteran Hewan SIKIA Banyuwangi,5
KIMIA,5
Kimia Industri,5
Kimia Terapan,5
"Kimia, Kampus K. Bandung",5
Klimatologi,5
Komputasi Statistik,5
Laboratorium Sains,5
Lingkungan,5
Magister Biologi,5
Magister Bioteknologi,5
Magister Farmasi Klinik,5
Magister Fisika,5
Magister Geografi,5
Magister Ilmu Farmasi,5
Magister Kimia,5
Magister Matematika,5
Magister Penginderaan Jauh,5
Manajemen Sumber Daya Hayati,5
Manajemen Sumberdaya Perairan (Kampus Kab. Banda Naira),5
Matematika,5
Matematika dan Aplikasi Sains,5
MATEMATIKA DAN ILMU PENGETAHUAN ALAM,5
Matematika Terapan,5
Mekanisasi Perikanan,5
Meteorologi,5
Mikrobiologi,5
Mikrobiologi Pertanian,5
Otomasi Sistem Instrumentasi,5
Pendidikan Fisika,5
Pendidikan Ilmu Pengetahuan Alam,5
PENDIDIKAN MATEMATIKA,5
PENDIDIKAN MIPA,5
Pendidikan Profesi Apoteer,5
Pendidikan Profesi Apoteker,5
Pendidikan Profesi Apoteker (Kampus Kota Cirebon),5
Penginderaan Jauh dan Sistem Informasi Geografi,5
Pengolahan Hasil Perikanan,5
Perikanan K Pangandaran,5
Profesi Apoteker,5
Rekayasa Hayati,5
Rekayasa Nanoteknologi,5
Sains Atmosfir dan Keplanetan,5
Sains Dan Teknologi Farmasi,5
Sains Data,5
Sains Data (Kampus Kabupaten Banyumas),5
Sains Komputasi,5
Statistik,5
Statistika,5
Statistika Bisnis,5
Statistika dan Sains Data,5
Statistika Terapan,5
Statistika Terapan dan Komputasi,5
Tadris IPA,5
Tadris Matematika,5
Teknik Kimia,5
Teknik Kimia (Kampus Kab. Pekalongan),5
Teknik Kimia Industri,5
Teknik Kimia Mineral,5
Teknik Penanganan Patologi Perikanan,5
Teknologi Informasi,5
Teknologi Informasi Pengelolaan Sumber Daya Alam,5
Teknologi Kimia Industri (Kampus Kab. Bombana),5
Teknologi Pangan,5
Teknologi Penginderaan,5
Teknologi Penginderaan Jauh,5
Teknologi Pengolahan Hasil Perikanan,5
Teknologi Sains Data,5
