program_studi,bidang_ilmu_id
Administrasi Pendidikan,6
Bahasa Inggris,6
Bimbingan  dan Konseling,6
Bimbingan Dan Konseling,6
Bimbingan dan Konseling (Kampus Kota Madiun),6
Bimbingan dan Konseling Islam,6
Bimbingan dan Konseling Pendidikan Islam,6
Bimbingan Konseling,6
Bimbingan Konseling Islam,6
Dharma Acarya (Ilmu Pendidikan Agama Hindu),6
DMS Pendidikan Agama islam,6
DMS Pendidikan Guru Madrasah Ibtidaiyah,6
Fisiologi Keolahragaan,6
Hubungan Internasional,6
Ilmu Agama Islam,6
Ilmu Al-Qur'an dan Tafsir,6
Ilmu Ekonomi,6
Ilmu Hubungan Internasional,6
Ilmu Keguruan Bahasa,6
Ilmu Keolahragaan,6
Ilmu Kepelatihan Olah Raga,6
Ilmu Manajemen Pendidikan,6
Ilmu Pendidikan,6
Ilmu Pendidikan Agama Islam,6
Ilmu Pendidikan Anak Usia Dini Islam,6
Ilmu Pendidikan Bahasa,6
Ilmu Pendidikan Islam,6
Ilmu Pendidikan Teologi,6
Kebijakan Dan Pengembangan Pendidikan,6
Kebijakan Pendidikan,6
Keguruan  Ilmu Pengetahuan Alam,6
Keguruan Bahasa,6
Keguruan Bahasa Arab,6
Keguruan Biologi,6
Keguruan Guru Sekolah Dasar,6
Keguruan Ilmu Pengetahuan Alam,6
Keguruan Olahraga,6
Keguruan Seni Rupa,6
Keolahragaan,6
Kepelatihan Fisik Olahraga,6
Kepelatihan Kecabangan Olahraga,6
Kepelatihan Olah Raga,6
Kepelatihan Olahraga,6
Kepemimpinan,6
Kepemimpinan Kristen,6
KEPENDIDIKAN,6
Kependidikan Islam,6
Konseling Pastoral,6
Linguistik Terapan,6
Magister Ilmu Agama Islam,6
Magister Manajemen Pendidikan Tinggi,6
Magister Pembangunan Sosial dan Kesejahteraan,6
Magister Pendidikan Agama Kristen,6
Manajemen Kependidikan,6
Manajemen Penddikan Islam,6
Manajemen Pendidikan,6
Manajemen Pendidikan Islam,6
Manajemen Pendidikan Islam (Kependidikan Islam),6
Manajemen Pendidikan Islam (MPI),6
Manajemen Pendidikan Islam/Kependidikan Islam,6
Manajemen Pendidikan Kristen,6
Manajemen Pendidikan Tinggi,6
Musik Gerejawi,6
Olahraga Rekreasi,6
Pastoral Konseling,6
Pedagogi,6
Pedagogik,6
Pelatihan Olahraga Pariwisata,6
Pendidikan,6
Pendidikan  Bahasa Inggris,6
Pendidikan  IPA,6
Pendidikan  Islam Anak Usia Dini,6
Pendidikan  Vokasional  Kesejahteraan  Keluarga,6
Pendidikan Administrasi Perkantoran,6
Pendidikan Agama,6
Pendidikan Agama Hindu,6
Pendidikan Agama Islam,6
Pendidikan Agama Islam (Berbasis Teknologi Pendidikan),6
Pendidikan Agama Islam (PAI),6
Pendidikan Agama Katolik,6
Pendidikan Agama Khonghucu,6
Pendidikan Agama Kristen,6
Pendidikan Agama Kristen -,6
Pendidikan Agama Kristen S2,6
Pendidikan Akuntansi,6
Pendidikan Anak Usia Dini,6
Pendidikan Antropologi,6
Pendidikan Bahasa,6
Pendidikan Bahasa  dan Sastra,6
Pendidikan Bahasa Arab,6
Pendidikan Bahasa Arab (PBA),6
Pendidikan Bahasa Asing (Inggris),6
Pendidikan Bahasa Bali,6
Pendidikan Bahasa dan Budaya Sunda,6
Pendidikan Bahasa dan Kebudayaan Lampung,6
PENDIDIKAN BAHASA DAN SASTRA,6
Pendidikan Bahasa Dan Sastra Daerah,6
Pendidikan Bahasa dan Sastra Indonesia,6
Pendidikan Bahasa Dan Sastra Inggris,6
Pendidikan Bahasa Dan Sastra Jawa,6
Pendidikan Bahasa Indonesia	,6
Pendidikan Bahasa Indonesia,6
Pendidikan Bahasa Indonesia (Kampus Kota Madiun),6
Pendidikan Bahasa Indonesia Bagi Penutur Asing,6
Pendidikan Bahasa Indonesia Dan Daerah,6
Pendidikan Bahasa Inggris	,6
Pendidikan Bahasa Inggris,6
Pendidikan Bahasa Inggris (Kampus Blitar),6
Pendidikan Bahasa Inggris (Kampus Kab. Kepulauan Aru),6
Pendidikan Bahasa Inggris (Kampus Kab. Maluku Barat Daya),6
Pendidikan Bahasa Inggris K. Jembrana,6
Pendidikan Bahasa Jawa,6
Pendidikan Bahasa Jepang,6
Pendidikan Bahasa Jerman,6
Pendidikan Bahasa Mandarin,6
Pendidikan Bahasa Perancis,6
Pendidikan Bahasa Sunda,6
"Pendidikan Bahasa, Sastra Ind Dan Daerah",6
"Pendidikan Bahasa, Sastra Indonesia dan Daerah",6
Pendidikan Bimbingan dan Konseling,6
Pendidikan Biologi,6
Pendidikan Biologi K. Kab. Gayo Lues,6
Pendidikan Bisnis,6
Pendidikan Bisnis dan Manajemen,6
Pendidikan dan Pengajaran Agama Katolik,6
Pendidikan Dasar,6
Pendidikan Ekonomi,6
