program_studi,bidang_ilmu_id
Agribinis,7
Agribisnis,7
Agribisnis (Kampus Kab. Sidenreng Rappang),7
Agribisnis (Kampus Kabupaten Paser),7
Agribisnis (Kampus Kabupaten Sijunjung),7
Agribisnis (Kampus Kota Kediri),7
Agribisnis Hortikultura,7
Agribisnis K. Mataram,7
Agribisnis Kelapa Sawit,7
Agribisnis Pangan ,7
Agribisnis Perikanan,7
Agribisnis Perikanan dan Kelautan,7
Agribisnis Pertanian (Kampus Kab. Nias Utara),7
Agribisnis Peternakan,7
Agribisnis Veteriner,7
Agro Industri,7
Agrobisnis,7
Agrobisnis Perikanan,7
Agrobisnis Pertanian,7
Agroekoteknologi,7
Agroekoteknologi (Kampus Kota Kediri),7
"Agroekoteknologi, Kampus Dharmasraya",7
Agroindustri,7
Agroindustri Pangan,7
Agronomi,7
Agronomi Dan Hortikultura,7
Agroteknologi,7
Agroteknologi (Kampus Kab. Morowali),7
Agroteknologi (Kampus Kabupaten Paser),7
Agroteknologi (Kampus Kabupaten Ponorogo),7
Agroteknologi (Kampus Kabupaten Sijunjung),7
Agroteknologi (pemuliaan)              Po,7
Agroteknologi K. Kab. Gayo Lues,7
Agroteknologi Kampus Kab. Tojo Una-una,7
Agroteknologi Pertanian,7
Agroteknologi Tanah,7
Agroteknologi/Agroekoteknologi,7
Agroteknopreneur,7
Agrowisata Bahari,7
Akuakultur,7
Akuakultur (Kampus Kota Kediri),7
"Akuakultur Fakultas Ilmu Kesehatan, Kedokteran, dan Ilmu Alam Banyuwangi",7
Akuakultur K. Banyuwangi,7
Anatomi Dan Perkembangan Hewan,7
Arsitektur Lansekap,7
Arsitektur Lanskap,7
Arsitektur Pertamanan,7
Bio Teknologi,7
Biologi,7
Biologi Reproduksi,7
Bioteknologi,7
Bioteknologi Perikanan ,7
Bioteknologi Perikanan dan Kelautan,7
Bioteknologi Pertanian,7
Bioteknologi Tanah Dan Lingkungan,7
Budi Daya Ikan,7
Budi Daya Ikan Air Tawar,7
Budi Daya Lahan Kering,7
