program_studi,bidang_ilmu_id
Angklung dan Musik Bambu,8
Animasi,8
Antropologi Tari,8
Arsitektur Interior,8
Barang Jadi Tekstil,8
Batik,8
Batik dan Fashion,8
BroadBand Multimedia,8
DESAIN,8
Desain dan Teknologi Produk Kulit,8
Desain Furnitur,8
Desain Grafis,8
Desain Grafis (Kampus Kota Makassar),8
Desain Grafis (Kampus Kota Medan),8
Desain Interior,8
Desain Interior (Kampus Kota Bandung),8
Desain Interior (Kampus Kota Malang),8
Desain Komunikasi Visual,8
Desain Komunikasi Visual (Kampus Kabupaten Banyumas),8
Desain Komunikasi Visual (Kampus Kota Bandung),8
Desain Komunikasi Visual (Kampus Kota Malang),8
Desain Komunikasi Visual -,8
Desain Mode,8
Desain Mode Batik,8
Desain Mode Kriya Batik,8
Desain Produk,8
Desain Produk Mekatronika,8
Desain Produk Tekstil,8
Doktor Pengkajian Seni Pertunjukan dan Seni Rupa,8
Etnomusikologi,8
Fashion Desain,8
Fashion Merchandising,8
Film,8
Film dan Televisi,8
Fotografi,8
Game Animasi,8
Ilmu Seni Rupa Dan Desain,8
Keris dan Senjata Tradisional,8
Komputer Grafis,8
Komputer Grafis dan Cetak,8
Komputer Multimedia,8
Kosmetik dan Perawatan Kecantikan,8
Kriya,8
Kriya Batik,8
Kriya Kain,8
Kriya Kayu,8
Kriya Keramik,8
Kriya Logam,8
Kriya Seni,8
Magister Pengkajian Seni Pertunjukan dan Seni Rupa,8
Manajemen & Produksi Film Video & TV,8
Manajemen Produksi Media,8
Multi Media,8
Multimedia,8
Musik,8
Musik Gereja,8
Musik Gerejawi,8
Pemeranan,8
Penata Tari,8
Penciptaan Dan Pengkajian Seni,8
Pendidikan Kriya,8
Pendidikan Multimedia Kampus Cibiru,8
Pendidikan Musik Gereja,8
Pendidikan Seni dan Budaya Keagamaan Hindu,8
Pendidikan Seni Karawitan Keagamaan Hindu,8
Pendidikan Seni Pertunjukan,8
Pendidikan Seni Rupa dan Ornamen Hindu,8
Pendidikan Seni Tari Keagamaan Hindu,8
Penyaji Musik,8
Penyajian Musik,8
Penyuntingan Audio dan Video,8
Pertamanan Dan Perencanaan Interior,8
Produksi Film dan Televisi,8
Produksi Garmen,8
Seni,8
Seni Karawitan,8
Seni Lukis,8
Seni Murni,8
Seni Musik,8
Seni Pedalangan,8
SENI PERTUNJUKAN,8
Seni Pertunjukan Keagamaan,8
Seni Rupa,8
Seni Rupa Dan Disain,8
Seni Rupa Murni,8
Seni Tari,8
Seni Teater,8
Senjata Tradisional Keris,8
Sistem Informasi Visual,8
Tari,8
Tata Kelola Seni,8
Tata Rias dan Kecantikan,8
Teater,8
Teknik Batik,8
Teknik Grafika,8
Teknik Grafika (Kampus Kota Makassar),8
Teknik Grafika (Kampus Kota Medan),8
Teknik Grafis,8
Teknik Kemasan,8
Teknik Komputer,8
Teknik Komputer dan Jaringan,8
Teknik Multimedia,8
Teknik Multimedia dan Jaringan,8
Teknik Pembuatan Tenun Ikat,8
Teknologi Batik,8
Teknologi Game,8
Teknologi Grafika,8
Teknologi Informatika Multimedia Digital,8
Teknologi Manufaktur Pakaian Jadi,8
Teknologi Multimedia dan Broadcasting,8
"Teknologi Multimedia dan Broadcasting, (Kampus Pacitan)",8
"Teknologi Multimedia dan Broadcasting, Kampus Lamongan",8
"Teknologi Multimedia dan Broadcasting, Kampus Sumenep",8
Teknologi Pengolahan Produk Kulit,8
Teknologi Permainan,8
Teknologi Rekayasa Komputer Jaringan ,8
Teknologi Rekayasa Multimedia,8
Televisi dan Film,8
