program_studi,bidang_ilmu_id
 Administrasi Bisnis,9
 Administrasi Publik,9
 Doktor Ilmu Administrasi Publik,9
 Perencanaan Pariwisata,9
Administrasi,9
Administrasi  Negara,9
Administrasi Asuransi & Aktuaria,9
Administrasi Bisnis,9
Administrasi Bisnis (Kampus Jakarta),9
Administrasi Bisnis (Kampus Kab. Nagakeo),9
Administrasi Bisnis (Kampus Kab. Nunukan),9
Administrasi Bisnis (Kampus Kab. Prabumulih),9
Administrasi Bisnis (Kampus Kota Blitar),9
Administrasi Bisnis Internasional,9
Administrasi Bisnis K. Pangandaran,9
Administrasi Bisnis Kampus K. Pekanbaru,9
Administrasi Bisnis Kampus Kota Pekanbaru,9
Administrasi Bisnis Otomotif,9
Administrasi Bisnis Sektor Publik,9
Administrasi Bisnis Terapan,9
Administrasi Dan Kebijakan Publik,9
Administrasi Hotel,9
Administrasi Kampus Jakarta,9
Administrasi Keimigrasian,9
Administrasi Kependudukan dan Catatan Sipil,9
Administrasi Keuangan,9
Administrasi Keuangan Publik,9
Administrasi Logistik,9
Administrasi Negara,9
Administrasi Niaga,9
Administrasi Pariwisata,9
Administrasi Pembangunan,9
Administrasi Pembangunan Negara,9
Administrasi Pemerintahan,9
Administrasi Pemerintahan Daerah,9
Administrasi Peradilan,9
Administrasi Perhotelan,9
Administrasi Perkantoran,9
Administrasi Perpajakan,9
Administrasi Pertahanan,9
Administrasi Pertanahan,9
Administrasi Publik,9
Administrasi Publik (Kampus Kab Rembang),9
Adminsitrasi Publik,9
Admnistrasi Perkantoran,9
Ahwal Al Syakhshiyah,9
Ahwal Al Syakhshiyyah,9
Ahwal Al-Syakhshiyah,9
Ahwal Al-Syakhshiyyah,9
Ahwal al-Syakhsiyyah,9
Ahwal Syakhshiyyah,9
Ahwal Syakhshiyyah (Hukum Keluarga),9
Ahwal Syakhsiyyah,9
AhwalSyakhsiyyah,9
Akhwal Asy-Syakhsiyah,9
AKHWAL SYAKSIYAH,9
Akhwalus Syakhsyiyah,9
Akomodasi,9
Akomodasi dan Katering,9
Aktuaria,9
Akuntansi,9
Al Ahwal al Syakhsiyyah (AS),9
Al Akhwal As Syakhsiyah,9
Al-Ahwal Al-Syakhshiyyah,9
Al-Akhwal Al-Syakshiyah,9
Asuransi,9
Asuransi Jiwa,9
Asuransi Kerugian,9
Asuransi Kesehatan,9
Asuransi Syariah,9
Audiologi,9
Bimbingan Dan Konseling,9
Bimbingan dan Konseling  Islam,9
Bimbingan dan Konseling  Pendidikan Islam,9
Bimbingan dan Konseling Islam,9
Bimbingan dan Konseling Pendidikan  Islam,9
Bimbingan dan Konseling Pendidikan Islam,9
Bimbingan dan Konseling Pendidikan Islam (BKPI),9
Bimbingan dan Penyuluhan  Islam,9
Bimbingan dan Penyuluhan Islam,9
Bimbingan dan Penyuluhan Islam (BPI),9
Bimbingan Kemasyarakatan,9
Bimbingan Konseling,9
Bimbingan Konseling  Islam,9
Bimbingan Konseling Islam,9
Bimbingan Konseling Pendidikan Islam,9
Bimbingan Penyuluhan Islam,9
Bina Wisata,9
Bio Kewirausahaan,9
Biokewirausahaan,9
Biomanajemen,9
BISNIS,9
Bisnis dan Manajemen Retil,9
Bisnis Digital,9
Bisnis Hospitaliti,9
Bisnis Hospitality,9
Bisnis Internasional,9
Bisnis Logistik,9
Bisnis Logistik dan Material,9
Bisnis Manajemen Retail,9
Bisnis Perhotelan,9
Bisnis Perjalanan Wisata,9
Demografi dan Pencatatan Sipil,9
Desain Busana,9
Destinasi Pariwisata,9
Destinasi Wisata,9
Diplomasi Pertahanan,9
Dirasah Islamiyah,9
Dirasat Islamiyah,9
Dirasat Islamiyah(Berbasis bahasa arab dan tahfidz Al-Quran),9
Divisi Kamar,9
Doktor Ilmu Hukum,9
Doktor Ilmu Ketahanan Nasional,9
Doktor Ilmu Komunikasi,9
Doktor Ilmu Lingkungan,9
Doktor Ilmu Politik,9
Doktor Ilmu Psikologi,9
Doktor Ilmu-Ilmu Humaniora,9
Doktor Kajian Budaya dan Media,9
Doktor Kajian Pariwisata,9
Doktor Kepemimpinan dan Inovasi Kebijakan,9
Doktor Kepemimpinan dan Inovasi Kebijakan (Doktor Studi Kebijakan),9
Doktor Kependudukan,9
Doktor Manajemen dan Kebijakan Publik,9
Doktor Pengkajian Amerika,9
Doktor Sosiologi,9
Ekonomi Sumberdaya Dan Lingkungan,9
Ekonomi Syari'ah,9
Ekonomi Syari`ah,9
Ekonomi Syariah,9
Ekonomi Terapan,9
Ekonomika Terapan,9
Ekowisata,9
Ekowisata Bahari,9
Ekowisata Bawah Laut,9
Enterpreneurship,9
Entrepreneurship,9
Fiqh Modern (Hukum Islam),9
Ground Handling,9
Hospitaliti dan Pariwisata,9
Hospitality,9
Hospitality dan Pariwisata,9
Hubungan Internasional,9
Hubungan Masyarakat,9
Hubungan Masyarakat K. Batang,9
Hubungan Masyarakat Kampus Kota Pekanbaru,9
"Hubungan Masyarakat, Kampus K. Pekanbaru",9
Hukum,9
Hukum  K. Mataram,9
Hukum  Pidana/Jinayah,9
Hukum Administrasi Negara,9
Hukum Agama Hindu,9
Hukum Bisnis,9
Hukum Bisnis Syariah,9
Hukum Ekonomi Syari'ah,9
Hukum Ekonomi Syari'ah (Mu'amalah),9
Hukum Ekonomi Syari'ah (Mua'malah),9
Hukum Ekonomi Syari'ah (Muamalah),9
Hukum Ekonomi Syari`ah,9
Hukum Ekonomi Syari`ah (Mu`amalah),9
Hukum Ekonomi Syariah,9
Hukum Ekonomi Syariah (Mu'amalah),9
Hukum Ekonomi Syariah (Mua'malah),9
Hukum Ekonomi Syariah (Muamalah),9
Hukum Ekonomi Syariah (Muamalat),9
Hukum Ekonomi Syariah / Mualamah,9
Hukum Ekonomi Syariah / Muamalah,9
Hukum Ekonomi Syariah(Mu'amalah),9
Hukum Ekonomi Syariah/Muamalah,9
Hukum Ekonomi Syariah/Muamalat,9
Hukum Hindu,9
Hukum Islam,9
Hukum Keimigrasian,9
Hukum Keluarga,9
Hukum Keluarga ( Al-Ahwal asy Syakhshiyah),9
Hukum Keluarga (Ahwal Al Syakhshiyah),9
Hukum Keluarga (Ahwal Al-syakhshiyyah),9
Hukum Keluarga (Ahwal Al-Syakhsiyah),9
Hukum Keluarga (Ahwal Al-Syakhsiyyah),9
Hukum Keluarga (Ahwal Al_Syakhsiyyah),9
Hukum Keluarga (Ahwal Asya Syaksiyah),9
Hukum Keluarga (Ahwal Syakhshiyah),9
Hukum Keluarga (Ahwal Syakhshiyyah),9
Hukum Keluarga (Ahwal Syakhsiyah),9
Hukum Keluarga (Ahwal Syakhsiyyah),9
Hukum Keluarga (Ahwalus Syakhsiyah),9
Hukum Keluarga (Akhwal Asy-Syahshiah),9
Hukum Keluarga (Akhwal Syahsiyyah),9
Hukum Keluarga (Akhwal Syakhshiyah) ,9
Hukum Keluarga (Akhwal Syakhshiyyah),9
Hukum Keluarga (Akhwal Syaksiyah),9
Hukum Keluarga (Al- Ahwal Asy-Syaksiyyah),9
Hukum Keluarga (Al-Ahwal asy-Syakhshiyah),9
Hukum Keluarga Islam ,9
Hukum Keluarga Islam  (Ahwal Al Syakhshiyah),9
Hukum Keluarga Islam (Ahwal Al Syakhshiyah) ,9
Hukum Keluarga Islam (Ahwal Al Syakhsiyyah),9
Hukum Keluarga Islam (Ahwal Al-Syakhshiyah),9
Hukum Keluarga Islam (Ahwal Al-Syakhshiyyah),9
Hukum Keluarga Islam (Ahwal al-Syakhsiyyah),9
Hukum Keluarga Islam (Ahwal Asy-Syakhshiyah),9
Hukum Keluarga Islam (Ahwal Syahsiyyah),9
Hukum Keluarga Islam (Ahwal Syakhshiyah),9
Hukum Keluarga Islam (Ahwal Syakhshiyyah),9
Hukum Keluarga Islam (Ahwal Syakhshiyyah) - S3,9
Hukum Keluarga Islam (Ahwal Syakhsiyyah),9
Hukum Keluarga Islam (Ahwal Syakhsyhiyyah),9
Hukum Keluarga Islam (Ahwal Syakshiyyah),9
Hukum Keluarga Islam (Ahwal Syaksiyah),9
Hukum Keluarga Islam (Akhwal Syahsiyyah),9
Hukum Keluarga Islam (Akhwal Syakhshiyyah),9
Hukum Keluarga Islam (Akhwal Syaksiyah),9
Hukum Keluarga Islam (Al-Akhwal As-Syahsiyah),9
Hukum Keluarga Islam(Ahwal Syakhshiyyah),9
Hukum Keluarga Islam/Ahwal al- Syakhshiyah,9
Hukum Kesehatan,9
Hukum Pidana Islam,9
Hukum Pidana Islam (Jinayah Siyasah),9
Hukum Pidana Islam (Jinayah),9
Hukum Syariah,9
Hukum Tata Negara,9
Hukum Tata Negara (Siyasah Syar'iyyah),9
Hukum Tata Negara (Siyasah),9
Hukum Tata Negara / Siyasah,9
Hukum Tata Negara/Politik Islam/Siyasah,9
Hukum Tatanegara,9
Hukum Tatanegara  (Siyasah Syar'iyyah),9
Hukum Tatanegara (Siyasah Syar'iyyah),9
Hukum Tatanegara (Siyasah Syariyyah),9
Hukum Tatanegara (Siyasah),9
Hukum Tatanegara (syiasah),9
Hukum Tatanegara Islam,9
Hukum Tatanegara Islam (Siyasah Syar'iyyah),9
Hukum Tatanegara Islam (Siyasah Syariyyah),9
ILMU ADMINISTRASI,9
Ilmu Administrasi Bisnis,9
Ilmu Administrasi Fiskal,9
Ilmu Administrasi Negara	,9
