program_studi,bidang_ilmu_id
Administrasi Bisnis Otomotif,10
Administrasi Jaringan Komputer,10
Administrasi Server dan Jaringan Komputer,10
Aeronautika,10
Alat Berat,10
Alat Berat (Kampus Kab. Paser),10
"Alat Berat, Kampus di Pusat Pengembangan dan Pelatihan PTK",10
Analis Kimia,10
Analisis Kimia,10
Analisis Sistem dan Riset Operasi,10
Arsitektur,10
Arsitektur (Kampus Kota Bandung),10
Arsitektur Bangunan Gedung,10
Arsitektur Lingkungan Binaan,10
Avionika,10
Bangunan Gedung,10
Budi Daya Laut dan Pantai,10
Data Science,10
Desain Kawasan Binaan,10
Desain Produk,10
Desain Produk Kayu Dan Serat,10
Doktor Arsitektur,10
Doktor Ilmu Komputer,10
Doktor Teknik Elektro,10
Doktor Teknik Geologi,10
Doktor Teknik Geomatika,10
Doktor Teknik Industri,10
Doktor Teknik Kimia,10
Doktor Teknik Mesin,10
Doktor Teknik Sipil,10
Elektro Indutri (Kampus Kab. Pelalawan),10
Elektro Mekanika,10
Elektro Pelayaran,10
Elektromedik,10
Elektronika,10
Elektronika dan Instrumentasi,10
Elektronika Industri,10
Elektronika Instrumentasi,10
Elektronika Intrumentasi,10
Energi,10
Energi Terbarukan,10
Fire And Safety,10
FISIKA,10
Fisika Instrumentasi,10
"Fondasi, Beton, Dan Pengaspalan Jalan",10
Gambar Arsitektur,10
Geofisika,10
Geografi Lingkungan,10
Geologi,10
Hidro Oseanografi,10
Hidrografi,10
IImu Komputer,10
Ilmu Arsitektur,10
Ilmu Arsitektur Dan Perkotaan,10
Ilmu Bahan-bahan,10
Ilmu Dan Rekayasa Nuklir,10
Ilmu Dan Teknik Material,10
Ilmu Forensik,10
Ilmu Informatika,10
Ilmu Komputasi,10
Ilmu Komputer,10
Ilmu Komputer Kampus Kota Sukabumi ,10
Ilmu Lingkungan,10
Ilmu Material,10
Ilmu Pertahanan,10
Ilmu Seni dan Arsitektur Islam,10
Ilmu Teknik,10
Ilmu Teknik Industri,10
Ilmu Teknik Kelautan,10
Ilmu Teknik Kimia,10
Ilmu Teknik Mesin,10
Ilmu Teknik Sipil,10
Industri Pertahanan,10
Informasi dan Humas,10
Informasi Teknologi,10
Informatika,10
Informatika (Kampus Kota Bandung),10
Informatika (Kampus Kota Medan),10
Informatika Kampus Kota Sukabumi,10
Inovasi Sistem dan Teknologi,10
Instalasi dan Pemeliharaan Jaringan Listrik,10
Instalasi Dan Pemeliharaan Kabel Bertegangan Rendah,10
INSTRU meteorologi klimatologi&geofisika,10
Instrumentasi,10
Instrumentasi dan Elektronika,10
Instrumentasi Dan Kontrol,10
Instrumentasi Dan Kontrol Industri,10
Jaringan Telekomunikasi Digital,10
Jasa Konstruksi,10
Keamanan Sistem Informasi,10
Kecerdasan Buatan,10
Kepolisian,10
Keselamatan Kerja & Pencegahan Kebakaran,10
Ketahanan Energi,10
Ketatalaksanaan Angkutan Laut dan Kepelabuhan,10
Ketatalaksanaan Angkutan Laut dan Kepelabuhanan,10
Ketatalaksanaan Pelayaran Niaga,10
